JARVIS-ID,Spg.number,Spg.Symbol,Composition,Spillage,SO_dir,SO_indir,NSO_di,NSO_indir,Dimesniolity ,mpid,Type,?1,?2,?3,?4,?5,?6,Indirgap QE(eV),Dirgap QE (eV),Dirgap WT (eV),Indirgap WT (eV),Dirgap WT-dense (eV)
JVASP-18252,63,Cmcm,CaIn2Au,0.673,0,-1.925,0,-2.031,3D,,,,,,,,,,,,,
JVASP-16439,129,P4/nmm,ZrAg,0.23,0,-1.924,0,-1.961,3D,,,,,,,,,,,,,
JVASP-40544,225,Fm-3m,DyMgHg2,0.381,0.013,-1.923,0,-1.253,3D,,,,,,,,,,,,,
JVASP-3477,221,Pm-3m,Nd3InN,0.893,0,-1.922,0,-0.812,3D,,,,,,,,,,,,,
JVASP-42025,225,Fm-3m,PrCd3,0.02,0.001,-1.922,0,-0.855,3D,,,,,,,,,,,,,
JVASP-41422,225,Fm-3m,Tm2ZnOs,0.562,0.007,-1.92,0,-2.243,3D,,,,,,,,,,,,,
JVASP-40322,225,Fm-3m,LiTm2Ir,0.286,0.008,-1.92,0,-2.017,3D,,,,,,,,,,,,,
JVASP-55104,139,I4/mmm,Yb(NiGe)2,0.36,0.015,-1.918,0.016,-1.93,3D,,,,,,,,,,,,,
JVASP-39841,225,Fm-3m,Lu2ZnTc,0.329,0,-1.918,0,-0.496,3D,,,,,,,,,,,,,
JVASP-37236,225,Fm-3m,SmZn2Cd,0.014,0.005,-1.918,0,-0.867,3D,,,,,,,,,,,,,
JVASP-40334,225,Fm-3m,Sc2ZnIr,0.296,0.001,-1.917,0,-1.865,3D,,,,,,,,,,,,,
JVASP-14688,62,Pnma,SiPd,0.038,0.022,-1.913,0.003,-1.932,3D,,,,,,,,,,,,,
JVASP-37293,221,Pm-3m,SmY3,0.813,0.001,-1.912,0,-2.095,3D,,,,,,,,,,,,,
JVASP-41945,225,Fm-3m,LiEr2Ru,0.112,0.002,-1.912,0,-0.61,3D,,,,,,,,,,,,,
JVASP-15750,221,Pm-3m,ScRu3C,0.087,0,-1.909,0,-1.693,3D,,,,,,,,,,,,,
JVASP-41906,225,Fm-3m,LiEr2Ir,0.318,0.007,-1.907,0,-2.075,3D,,,,,,,,,,,,,
JVASP-35103,129,P4/nmm,ThSbTe,0.844,0,-1.904,0,-2.084,3D,,,,,,,,,,,,,
JVASP-38789,225,Fm-3m,LiNd2Os,0.494,0,-1.901,0,-0.848,3D,,,,,,,,,,,,,
JVASP-40366,225,Fm-3m,LiHo2Pt,0.412,0.005,-1.901,0,-1.93,3D,,,,,,,,,,,,,
JVASP-39876,225,Fm-3m,AcSu2,2.137,0.005,-1.9,0,-1.283,3D,,,,,,,,,,,,,
JVASP-36346,225,Fm-3m,PdC,0.067,0.03,-1.897,0,-1.989,3D,,,,,,,,,,,,,
JVASP-41870,225,Fm-3m,Sc2TcPt,0.239,0,-1.896,0,-1.753,3D,,,,,,,,,,,,,
JVASP-41585,225,Fm-3m,VSiTc2,0.056,0.002,-1.896,0,-1.906,3D,,,,,,,,,,,,,
JVASP-36880,1,P1,TlAgBr3,1.278,0.001,-1.895,0.001,-2.018,3D,,,,,,,,,,,,,
JVASP-41480,225,Fm-3m,Lu2CoRu,0.083,0,-1.895,0,-1.321,3D,,,,,,,,,,,,,
JVASP-36957,6,Pm,KAgBr3,0.034,0,-1.895,0,-2.015,3D,,,,,,,,,,,,,
JVASP-20429,221,Pm-3m,BaHg,0.11,0,-1.893,0,-2.102,3D,,,,,,,,,,,,,
JVASP-20618,221,Pm-3m,BaHg,0.11,0,-1.893,0,-2.102,3D,,,,,,,,,,,,,
JVASP-41249,225,Fm-3m,HfGaRu2,0.573,0.002,-1.891,0,-1.718,3D,,,,,,,,,,,,,
JVASP-54930,225,Fm-3m,ZrInPt2,0.152,0.013,-1.891,0,-1.329,3D,,,,,,,,,,,,,
JVASP-51146,216,F-43m,NbSnRu,0.118,0,-1.89,0,-1.86,3D,,,,,,,,,,,,,
JVASP-40060,225,Fm-3m,Ti2ZnRe,0.923,0.002,-1.889,0,-1.688,3D,,,,,,,,,,,,,
JVASP-40519,225,Fm-3m,ScNbTc2,1.273,0.001,-1.887,0,-1.989,3D,,,,,,,,,,,,,
