JARVIS-ID,Spg.number,Spg.Symbol,Composition,Spillage,SO_dir,SO_indir,NSO_di,NSO_indir,Dimesniolity ,mpid,Type,?1,?2,?3,?4,?5,?6,Indirgap QE(eV),Dirgap QE (eV),Dirgap WT (eV),Indirgap WT (eV),Dirgap WT-dense (eV)
JVASP-816,225,Fm-3m,Al,0.415,0,-16.812,0,-3.533,3D,,,,,,,,,,,,,
JVASP-25411,221,Pm-3m,C,0,0.004,-12.081,0,-12.084,3D,,,,,,,,,,,,,
JVASP-25413,229,Im-3m,Ge,1.132,0.114,-11.163,0,-11.554,3D,,,,,,,,,,,,,
JVASP-14696,229,Im-3m,Tl,0.442,0,-10.545,2.573,-0.541,3D,,,,,,,,,,,,,
JVASP-21200,229,Im-3m,Tl,0.442,0,-10.545,2.573,-0.541,3D,,,,,,,,,,,,,
JVASP-16730,225,Fm-3m,Ge,0.01,0.111,-10.31,0,-10.676,3D,,,,,,,,,,,,,
JVASP-25088,225,Fm-3m,Ge,0.01,0.111,-10.31,0,-10.676,3D,mp-12093,,0,0,0,0,0,0,-9.962,0.133,0.096,-10.234,0.096
JVASP-814,225,Fm-3m,Ag,0.005,0,-9.869,0,-1.167,3D,,,,,,,,,,,,,
JVASP-14606,225,Fm-3m,Ag,0.004,0,-9.352,0,-0.995,3D,,,,,,,,,,,,,
JVASP-813,225,Fm-3m,Ag,0.004,0,-9.352,0,-0.995,3D,,,,,,,,,,,,,
JVASP-812,225,Fm-3m,Ag,0.005,0,-9.262,0,-0.965,3D,,,,,,,,,,,,,
JVASP-36421,221,Pm-3m,ZrN,0.005,0,-8.962,0,-1.2,3D,,,,,,,,,,,,,
JVASP-25227,229,Im-3m,Bi,0.586,0,-8.896,0,-8.2,3D,,,,,,,,,,,,,
JVASP-25228,229,Im-3m,Bi,0.644,0,-8.875,0,-8.084,3D,,,,,,,,,,,,,
JVASP-25069,225,Fm-3m,Sn,0.064,0.268,-8.523,0,-9.279,3D,mp-1022725,,0,0,0,0,0,0,-8.34,0.236,0.088,-8.594,0.091
JVASP-14614,221,Pm-3m,Sb,0.366,0,-8.055,0,-6.686,3D,,,,,,,,,,,,,
JVASP-15021,221,Pm-3m,MgAg,0.054,0,-8.009,0,-4.991,3D,,,,,,,,,,,,,
JVASP-826,225,Fm-3m,Au,0.06,0,-7.863,0,-1.675,3D,,,,,,,,,,,,,
JVASP-41852,225,Fm-3m,LiBePd2,0.051,0,-7.732,0.024,-1.337,3D,,,,,,,,,,,,,
JVASP-15845,63,Cmcm,Ga,0.003,0,-7.668,0,-7.673,2D,,,,,,,,,,,,,
JVASP-20504,221,Pm-3m,Zg,0.093,0,-7.612,0,-4.207,3D,,,,,,,,,,,,,
JVASP-36335,221,Pm-3m,NbN,0.017,0.007,-7.418,0,-7.53,3D,,,,,,,,,,,,,
JVASP-14994,221,Pm-3m,CdAg,0.011,0,-7.358,0,-5.06,3D,,,,,,,,,,,,,
JVASP-825,225,Fm-3m,Au,0.062,0,-7.248,0,-1.462,3D,,,,,,,,,,,,,
JVASP-824,225,Fm-3m,Au,0.062,0,-7.236,0,-1.458,3D,,,,,,,,,,,,,
JVASP-38166,225,Fm-3m,LiAg2Pd,0.206,0.001,-7.147,0.027,-0.269,3D,,,,,,,,,,,,,
JVASP-40357,225,Fm-3m,LiZnPd2,0.029,0,-7.134,0.042,-0.831,3D,,,,,,,,,,,,,
JVASP-41151,225,Fm-3m,Be2NiRh,0.164,0,-6.981,0,-1.726,3D,,,,,,,,,,,,,
JVASP-35690,221,Pm-3m,CuPd,0.148,0,-6.97,0,-0.742,3D,,,,,,,,,,,,,
JVASP-39081,187,P-6m2,SnPb,1.272,0.053,-6.954,0,-7.828,3D,,,,,,,,,,,,,
JVASP-40004,225,Fm-3m,Be2PdRh,1.068,0.001,-6.9,0,-1.741,3D,,,,,,,,,,,,,
JVASP-19693,164,P-3m1,Ag2F,0.012,0.001,-6.896,0,-1.066,3D,,,,,,,,,,,,,
JVASP-40628,225,Fm-3m,LiCdPd2,0.034,0,-6.87,0.003,-0.529,3D,,,,,,,,,,,,,
JVASP-14818,229,Im-3m,Nb,1.534,0.001,-6.785,0,-1.87,3D,,,,,,,,,,,,,
JVASP-934,229,Im-3m,Nb,1.534,0.001,-6.785,0,-1.87,3D,,,,,,,,,,,,,
JVASP-20277,221,Pm-3m,LiHg,0.107,0.033,-6.749,0.888,-3.333,3D,,,,,,,,,,,,,
JVASP-20545,221,Pm-3m,LiHg,0.107,0.033,-6.749,0.888,-3.333,3D,,,,,,,,,,,,,
JVASP-15075,225,Fm-3m,HfN,1.021,0.002,-6.701,0,-0.694,3D,,,,,,,,,,,,,
JVASP-42011,225,Fm-3m,LiHgPd2,0.142,0,-6.669,0.018,-0.285,3D,,,,,,,,,,,,,
JVASP-25166,229,Im-3m,Pb,1.301,0.897,-6.632,0,-9.303,3D,,,,,,,,,,,,,
JVASP-37832,225,Fm-3m,CdAg2Au,0.19,0,-6.591,0,-4.774,3D,,,,,,,,,,,,,
JVASP-41244,225,Fm-3m,Be2IrPd,1.186,0,-6.552,0,-2.386,3D,,,,,,,,,,,,,
JVASP-16065,194,P6_3/mmc,Ag,0.019,0.007,-6.436,0,-6.576,3D,,,,,,,,,,,,,
JVASP-25341,194,P6_3/mmc,Ag,0.019,0.007,-6.436,0,-6.576,3D,,,,,,,,,,,,,
JVASP-19808,221,Pm-3m,Zu,2.042,0,-6.377,0,-3.944,3D,,,,,,,,,,,,,
JVASP-17815,194,P6_3/mmc,Pb,0.782,0.073,-6.342,0,-7.632,3D,,,,,,,,,,,,,
JVASP-25161,194,P6_3/mmc,Pb,0.782,0.073,-6.342,0,-7.632,3D,,,,,,,,,,,,,
JVASP-40583,225,Fm-3m,LiCdAg2,0.025,0.01,-6.338,0,-6.294,3D,,,,,,,,,,,,,
JVASP-15047,221,Pm-3m,CdAu,0.067,0,-6.268,0,-4.403,3D,,,,,,,,,,,,,
JVASP-16557,221,Pm-3m,TlHg,0.34,0.001,-6.249,0.832,-1.878,3D,,,,,,,,,,,,,
JVASP-17723,225,Fm-3m,Pb,0.267,0.946,-6.237,0,-8.735,3D,,,,,,,,,,,,,
JVASP-38797,225,Fm-3m,LiMgPd2,0.025,0,-6.226,0.05,-1.162,3D,,,,,,,,,,,,,
JVASP-41918,225,Fm-3m,Be2RhPt,0.961,0,-6.202,0,-2.272,3D,,,,,,,,,,,,,
JVASP-16569,225,Fm-3m,Li3Pd,0.017,0.006,-6.185,0.022,-0.676,3D,,,,,,,,,,,,,
JVASP-38642,187,P-6m2,MgPb3,1.021,0.015,-6.107,0,-7.332,3D,,,,,,,,,,,,,
JVASP-19854,221,Pm-3m,AlPd,0.039,0.001,-6.093,0,-3.287,3D,,,,,,,,,,,,,
JVASP-41299,225,Fm-3m,HgPd2,0.125,0.001,-6.085,0.038,-0.191,3D,,,,,,,,,,,,,
JVASP-40359,225,Fm-3m,CdAgPd2,0.082,0,-6.078,0.068,-0.229,3D,,,,,,,,,,,,,
JVASP-40301,225,Fm-3m,LiCd2Pd,0.173,0,-6.074,0,-5.313,3D,,,,,,,,,,,,,
JVASP-1384,221,Pm-3m,LiPb,2.031,0,-6.06,0,-4.987,3D,,,,,,,,,,,,,
JVASP-41832,225,Fm-3m,Cu2PdAu,0.336,0.002,-6.019,0,-0.138,3D,,,,,,,,,,,,,
JVASP-16458,221,Pm-3m,BePd,0.016,0.064,-5.957,0,-5.994,3D,,,,,,,,,,,,,
JVASP-40350,225,Fm-3m,LiZn2Pt,0.579,0,-5.949,0,-4.927,3D,,,,,,,,,,,,,
JVASP-41885,225,Fm-3m,LiBe2Ir,0.263,0.058,-5.942,0,-6.31,3D,,,,,,,,,,,,,
JVASP-41775,225,Fm-3m,LiZu2,2.044,0.002,-5.915,0,-5.886,3D,,,,,,,,,,,,,
JVASP-40369,225,Fm-3m,Be2CoPt,1.022,0,-5.797,0,-1.48,3D,,,,,,,,,,,,,
JVASP-40329,225,Fm-3m,Li3Pt,0.22,0.003,-5.783,0.095,-0.1,3D,,,,,,,,,,,,,
JVASP-40309,225,Fm-3m,LiCd2Pt,0.435,0,-5.766,0,-5.114,3D,,,,,,,,,,,,,
JVASP-40379,225,Fm-3m,Be2IrPt,1.056,0,-5.754,0,-3.014,3D,,,,,,,,,,,,,
JVASP-35770,123,P4/mmm,LiHPd,0.021,0.039,-5.677,0,-5.883,3D,,,,,,,,,,,,,
JVASP-25331,221,Pm-3m,Se,0.397,0,-5.665,0,-6.005,3D,,,,,,,,,,,,,
JVASP-17685,225,Fm-3m,LiGa2Pt,0.581,0,-5.655,0,-5.667,3D,,,,,,,,,,,,,
JVASP-35978,216,F-43m,IrC,0.148,0,-5.63,0.752,0.415,3D,,,,,,,,,,,,,
JVASP-15528,225,Fm-3m,LiGa2Pd,0.216,0,-5.614,0,-5.624,3D,,,,,,,,,,,,,
JVASP-41284,225,Fm-3m,Cd2Pt,0.208,0.001,-5.592,0,-4.138,3D,,,,,,,,,,,,,
JVASP-41469,225,Fm-3m,Be2CuRh,0.023,0.049,-5.556,0,-5.648,3D,,,,,,,,,,,,,
JVASP-41755,225,Fm-3m,LiGaCu2,0.954,0.001,-5.547,0,-5.516,3D,,,,,,,,,,,,,
JVASP-18399,225,Fm-3m,HPd,0.051,0.001,-5.521,0,-1.396,3D,,,,,,,,,,,,,
JVASP-20522,221,Pm-3m,GaNi,0.023,0.001,-5.515,0,-1.746,3D,,,,,,,,,,,,,
JVASP-17195,225,Fm-3m,PtN,0.774,0.001,-5.473,0,-1.458,3D,,,,,,,,,,,,,
JVASP-25234,51,Pmma,Bi,0.639,0,-5.469,0.001,-6.149,2D,,,,,,,,,,,,,
JVASP-39159,225,Fm-3m,MgIg2,0.063,0.003,-5.454,0,-5.376,3D,,,,,,,,,,,,,
JVASP-14547,221,Pm-3m,LiAg,0.112,0.191,-5.429,0,-5.764,3D,,,,,,,,,,,,,
JVASP-36348,216,F-43m,PdC,0.768,0,-5.419,0,-5.427,3D,,,,,,,,,,,,,
JVASP-16833,221,Pm-3m,PrB6,0.026,0,-5.418,0.035,-0.293,3D,,,,,,,,,,,,,
JVASP-20385,225,Fm-3m,Sn2Ir,0.647,0,-5.416,0,-5.319,3D,,,,,,,,,,,,,
JVASP-20572,225,Fm-3m,Sn2Ir,0.647,0,-5.416,0,-5.319,3D,,,,,,,,,,,,,
JVASP-41019,225,Fm-3m,ZnCuAu2,0.111,0,-5.374,0.008,-4.694,3D,,,,,,,,,,,,,
JVASP-39802,225,Fm-3m,Li2AgHg,0.723,0.004,-5.367,0,-5.026,3D,,,,,,,,,,,,,
JVASP-14822,194,P6_3/mmc,Tl,0.78,0,-5.365,0,-5.522,3D,,,,,,,,,,,,,
JVASP-25337,194,P6_3/mmc,Tl,0.78,0,-5.365,0,-5.522,3D,,,,,,,,,,,,,
JVASP-15069,221,Pm-3m,YbAu,0.713,0,-5.354,0,-2.084,3D,,,,,,,,,,,,,
JVASP-41105,225,Fm-3m,LiSnRh2,0.924,0,-5.349,0,-1.494,3D,,,,,,,,,,,,,
JVASP-18008,221,Pm-3m,InPd,0.075,0,-5.331,0,-2.312,3D,,,,,,,,,,,,,
JVASP-20245,221,Pm-3m,NdB6,0.028,0,-5.331,0.029,-0.299,3D,,,,,,,,,,,,,
JVASP-20515,221,Pm-3m,NdB6,0.028,0,-5.331,0.029,-0.299,3D,,,,,,,,,,,,,
JVASP-17653,225,Fm-3m,LiIn2Pt,0.637,0,-5.326,0,-5.253,3D,,,,,,,,,,,,,
JVASP-17931,216,F-43m,Li2InPt,0.449,0,-5.298,0,-5.326,3D,,,,,,,,,,,,,
JVASP-17934,216,F-43m,Li2InPd,0.154,0,-5.263,0,-5.261,3D,,,,,,,,,,,,,
JVASP-37974,221,Pm-3m,Ag3Hg,0.174,0,-5.261,0,-2.004,3D,,,,,,,,,,,,,
JVASP-36653,221,Pm-3m,IrC,0.729,0,-5.227,0,-2.558,3D,,,,,,,,,,,,,
JVASP-37724,221,Pm-3m,HoGeO3,0.045,0.001,-5.219,1.197,0.393,3D,,,,,,,,,,,,,
JVASP-40630,225,Fm-3m,LiInPd2,0.351,0.028,-5.215,0,-5.52,3D,,,,,,,,,,,,,
JVASP-40303,225,Fm-3m,LiGaPd2,0.722,0.009,-5.214,0,-5.253,3D,,,,,,,,,,,,,
JVASP-15720,221,Pm-3m,SmB6,0.033,0,-5.21,0.028,-0.302,3D,,,,,,,,,,,,,
JVASP-16683,225,Fm-3m,LiAlAg2,0.062,0,-5.196,0,-5.043,3D,,,,,,,,,,,,,
JVASP-40587,225,Fm-3m,LiCdAu2,0.087,0,-5.186,0,-4.982,3D,,,,,,,,,,,,,
JVASP-39686,225,Fm-3m,Li2HgAu,1.923,0.01,-5.183,0.02,-4.739,3D,,,,,,,,,,,,,
JVASP-8123,225,Fm-3m,LiSnPd2,0.075,0,-5.176,0,-4.49,3D,,,,,,,,,,,,,
JVASP-17427,225,Fm-3m,Al2Pd,0.326,0.015,-5.135,0,-5.43,3D,,,,,,,,,,,,,
JVASP-18590,221,Pm-3m,MgAg3,0.094,0,-5.135,0,-2.069,3D,,,,,,,,,,,,,
JVASP-16801,221,Pm-3m,Cd3In,0.041,0,-5.129,0,-3.371,3D,,,,,,,,,,,,,
JVASP-39799,225,Fm-3m,Li2Zu,0.478,0,-5.112,0,-5.027,3D,,,,,,,,,,,,,
JVASP-16304,191,P6/mmm,B2Au,1.057,0,-5.089,0,-2.936,2D,,,,,,,,,,,,,
JVASP-4708,191,P6/mmm,B2Au,1.057,0,-5.089,0,-2.936,2D,,,,,,,,,,,,,
JVASP-14610,229,Im-3m,Mo,0.035,0,-5.087,0,-5.243,3D,,,,,,,,,,,,,
JVASP-21195,229,Im-3m,Mo,0.035,0,-5.087,0,-5.243,3D,,,,,,,,,,,,,
JVASP-38170,225,Fm-3m,LiAg2Pb,0.231,0.004,-5.049,0,-4.635,3D,,,,,,,,,,,,,
JVASP-18859,216,F-43m,Li2InRh,0.435,0.007,-5.046,0,-5.133,3D,,,,,,,,,,,,,
JVASP-20517,227,Fd-3m,LiZn,0.004,0.017,-4.992,0,-5.006,3D,,,,,,,,,,,,,
JVASP-51417,225,Fm-3m,YbH3,0.024,0.036,-4.984,0,-3.125,3D,,,,,,,,,,,,,
JVASP-41773,225,Fm-3m,LiPdAu2,0.793,0,-4.97,0,-0.2,3D,,,,,,,,,,,,,
JVASP-18822,225,Fm-3m,Zn2AgAu,0.057,0.019,-4.969,0,-5.85,3D,mp-31171,,,,,,,,-4.944,0.045,0.001,-3.287,0.015
JVASP-16088,225,Fm-3m,Re,0.208,0.001,-4.967,0,-4.52,3D,,,,,,,,,,,,,
JVASP-18766,225,Fm-3m,LiAl2Pt,0.296,0,-4.965,0,-4.534,3D,,,,,,,,,,,,,
JVASP-18764,225,Fm-3m,LiAl2Pd,0.022,0.003,-4.965,0,-4.531,3D,,,,,,,,,,,,,
JVASP-25348,225,Fm-3m,Tc,0.037,0.002,-4.941,0,-4.528,3D,,,,,,,,,,,,,
JVASP-16084,225,Fm-3m,Tc,0.037,0.002,-4.94,0,-4.527,3D,,,,,,,,,,,,,
JVASP-15040,187,P-6m2,LiPd,0.515,0.002,-4.906,0,-1.385,3D,,,,,,,,,,,,,
JVASP-38829,225,Fm-3m,MgInRh2,0.815,0,-4.904,0,-1.345,3D,,,,,,,,,,,,,
JVASP-18763,216,F-43m,Li2AlPd,0.008,0,-4.898,0,-4.903,3D,,,,,,,,,,,,,
JVASP-18535,225,Fm-3m,LiGePd2,0.094,0.002,-4.895,0,-3.261,3D,,,,,,,,,,,,,
JVASP-20586,139,I4/mmm,TbC2,0.297,0,-4.885,0.853,-0.391,3D,,,,,,,,,,,,,
JVASP-40354,225,Fm-3m,LiZn2Au,0.627,0.049,-4.879,0,-5.464,3D,,,,,,,,,,,,,
JVASP-41205,225,Fm-3m,Be2PdPt,0.097,0.085,-4.875,0,-5.358,3D,,,,,,,,,,,,,
JVASP-40096,225,Fm-3m,Be2NiPt,0.13,0.074,-4.874,0,-5.388,3D,,,,,,,,,,,,,
JVASP-39883,225,Fm-3m,BeAlIr2,0.73,0,-4.836,0,-3.4,3D,,,,,,,,,,,,,
JVASP-19699,51,Pmma,CdAu,0.167,0.001,-4.823,0,-5.055,2D,,,,,,,,,,,,,
JVASP-8463,221,Pm-3m,InNi,0.031,0.002,-4.806,0,-2.021,3D,,,,,,,,,,,,,
JVASP-19702,221,Pm-3m,MgHg,1.101,0.295,-4.787,0,-5.765,3D,mp-1408,,0,0,0,0,0,0,-4.69,0.324,0.31,-4.751,0.31
JVASP-15478,225,Fm-3m,LiGa2Rh,0.304,0.04,-4.775,0,-4.852,3D,,,,,,,,,,,,,
JVASP-14651,139,I4/mmm,YC2,0.037,0.003,-4.761,1.058,-0.275,3D,,,,,,,,,,,,,
JVASP-40403,225,Fm-3m,Be2RuAu,0.78,0.001,-4.759,0,-1.638,3D,,,,,,,,,,,,,
JVASP-41211,225,Fm-3m,Mg2PdRh,1.581,0.005,-4.752,0,-0.967,3D,,,,,,,,,,,,,
JVASP-38383,225,Fm-3m,Li2TlPt,2.134,0,-4.73,0,-3.905,3D,,,,,,,,,,,,,
JVASP-18585,221,Pm-3m,Ig3,0.217,0.001,-4.73,0,-4.933,3D,,,,,,,,,,,,,
JVASP-18612,216,F-43m,Li2Iu,0.571,0,-4.727,0,-4.614,3D,,,,,,,,,,,,,
JVASP-39947,225,Fm-3m,AlZnRh2,0.964,0,-4.725,0,-1.788,3D,,,,,,,,,,,,,
JVASP-39850,225,Fm-3m,Cd2PdRh,0.596,0,-4.712,0,-0.609,3D,,,,,,,,,,,,,
JVASP-16550,191,P6/mmm,Hg2,0.408,0.001,-4.702,0.005,-3.055,3D,,,,,,,,,,,,,
JVASP-18586,216,F-43m,Li2Ig,0.058,0.037,-4.697,0,-4.561,3D,,,,,,,,,,,,,
JVASP-16082,225,Fm-3m,Nb,1.994,0,-4.686,0,-1.241,3D,,,,,,,,,,,,,
JVASP-25346,225,Fm-3m,Nb,1.994,0,-4.686,0,-1.241,3D,,,,,,,,,,,,,
JVASP-41095,225,Fm-3m,LiSnIr2,0.835,0,-4.684,0,-2.496,3D,,,,,,,,,,,,,
JVASP-18163,225,Fm-3m,In2Au,0.684,0,-4.677,0,-4.791,3D,,,,,,,,,,,,,
JVASP-38697,221,Pm-3m,TeO3,0.014,0.003,-4.667,0,-1.07,3D,,,,,,,,,,,,,
JVASP-20620,221,Pm-3m,YB6,0.006,0,-4.667,0.074,-0.246,3D,,,,,,,,,,,,,
JVASP-40229,225,Fm-3m,LiCd2Rh,0.455,0.003,-4.658,0,-4.766,3D,,,,,,,,,,,,,
JVASP-39853,225,Fm-3m,Cd2RhPt,2.058,0,-4.656,0,-0.788,3D,,,,,,,,,,,,,
JVASP-19649,225,Fm-3m,SmS,0.628,0.004,-4.649,1.49,1.024,3D,,,,,,,,,,,,,
JVASP-42854,225,Fm-3m,AgHgPd2,0.181,0,-4.64,0.007,-0.157,3D,,,,,,,,,,,,,
JVASP-41273,225,Fm-3m,MgInPd2,0.121,0,-4.638,0,-4.106,3D,,,,,,,,,,,,,
JVASP-41134,225,Fm-3m,Zn2PdRh,0.134,0,-4.635,0,-0.903,3D,,,,,,,,,,,,,
JVASP-19712,227,Fd-3m,LiCd,0.724,0.053,-4.631,0,-4.753,3D,,,,,,,,,,,,,
JVASP-19956,225,Fm-3m,NdS,0.587,0.003,-4.629,1.411,1.046,3D,,,,,,,,,,,,,
JVASP-16376,221,Pm-3m,AlPt,1.612,0,-4.625,0,-2.429,3D,,,,,,,,,,,,,
JVASP-15572,225,Fm-3m,LiGa2Ir,0.927,0.002,-4.625,0,-5.085,3D,,,,,,,,,,,,,
JVASP-16083,225,Fm-3m,Mo,0.068,0.003,-4.614,0,-4.692,3D,,,,,,,,,,,,,
JVASP-40386,225,Fm-3m,LiIu2,2.075,0.048,-4.607,0,-4.981,3D,,,,,,,,,,,,,
JVASP-14487,139,I4/mmm,NdC2,0.593,0,-4.606,0.866,-0.122,3D,,,,,,,,,,,,,
JVASP-54991,221,Pm-3m,HoB6,0.043,0,-4.595,0.064,-0.277,3D,,,,,,,,,,,,,
JVASP-38543,225,Fm-3m,Cd2Au,0.327,0.057,-4.593,0,-4.684,3D,,,,,,,,,,,,,
JVASP-40539,225,Fm-3m,LiAlPd2,0.588,0.029,-4.589,0,-5.025,3D,mp-867820,,,,,,,,-4.597,0.186,0,-6.846,0.001
JVASP-18767,216,F-43m,Li2AlRh,0.552,0.09,-4.588,0,-4.685,3D,,,,,,,,,,,,,
JVASP-18860,216,F-43m,Li2InIr,0.553,0.039,-4.585,0,-4.968,3D,mp-31443,,,,,,,,-3.438,0.057,0,-3.926,0.017
JVASP-15598,216,F-43m,MgSu,0.107,0,-4.577,0,-4.415,3D,,,,,,,,,,,,,
JVASP-18606,216,F-43m,Li2GaAu,0.65,0.141,-4.558,0,-4.867,3D,mp-30381,,,,,,,,-4.512,0.158,0,-4.91,0.061
JVASP-41845,225,Fm-3m,BeGaRh2,0.74,0,-4.556,0,-2.177,3D,,,,,,,,,,,,,
JVASP-17402,225,Fm-3m,LiNi2Ge,0.061,0,-4.542,0,-4.523,3D,,,,,,,,,,,,,
JVASP-14566,225,Fm-3m,DyS,0.932,0.006,-4.523,1.706,1.045,3D,,,,,,,,,,,,,
JVASP-17752,221,Pm-3m,Pb3,1.529,0,-4.509,0,-3.457,3D,,,,,,,,,,,,,
JVASP-15914,216,F-43m,MgSbPt,0.16,0,-4.509,0,-4.408,3D,,,,,,,,,,,,,
JVASP-38552,225,Fm-3m,Ig2,0.045,0.001,-4.507,0,-4.723,3D,,,,,,,,,,,,,
JVASP-14958,225,Fm-3m,SeS,0.582,0.1,-4.506,0,-4.751,3D,,,,,,,,,,,,,
JVASP-38821,225,Fm-3m,Zn2RhPt,0.256,0,-4.503,0,-1.221,3D,,,,,,,,,,,,,
JVASP-41660,225,Fm-3m,Li2CdPd,0.106,0.035,-4.495,0,-4.876,3D,,,,,,,,,,,,,
JVASP-19660,221,Pm-3m,ErB6,0.044,0,-4.484,0.074,-0.269,3D,,,,,,,,,,,,,
JVASP-39836,225,Fm-3m,LiZn2Rh,0.442,0.025,-4.482,0,-4.579,3D,,,,,,,,,,,,,
JVASP-41499,139,I4/mmm,Zn3Pt,0.377,0.047,-4.464,0,-4.646,3D,mp-865355,,,,,,,,-4.442,0.057,0,-3.287,0.06
JVASP-19781,225,Fm-3m,ErS,0.85,0.005,-4.459,1.811,1.058,3D,,,,,,,,,,,,,
JVASP-37754,139,I4/mmm,3Pt,0.116,0,-4.456,0.001,-0.024,3D,,,,,,,,,,,,,
JVASP-17216,225,Fm-3m,LiGeRh2,0.867,0,-4.453,0,-1.897,3D,,,,,,,,,,,,,
JVASP-15042,221,Pm-3m,TbPd3,0.044,0,-4.452,0.01,-1.697,3D,,,,,,,,,,,,,
JVASP-39223,225,Fm-3m,Li2MgHg,0.866,0.026,-4.444,0,-4.333,3D,,,,,,,,,,,,,
JVASP-41324,225,Fm-3m,MgGaRh2,1.248,0,-4.433,0,-1.679,3D,,,,,,,,,,,,,
JVASP-19835,221,Pm-3m,DyPd3,0.045,0,-4.421,0.036,-1.714,3D,,,,,,,,,,,,,
JVASP-41349,225,Fm-3m,MgAlPd2,0.019,0.001,-4.42,0,-4.356,3D,,,,,,,,,,,,,
JVASP-56718,225,Fm-3m,LiCu2Ge,0.028,0,-4.419,0,-4.407,3D,,,,,,,,,,,,,
JVASP-36724,12,C2/m,NdB4,0.012,0.005,-4.419,0.004,-1.157,3D,,,,,,,,,,,,,
JVASP-7725,187,P-6m2,LiPt,0.406,0,-4.413,0,-1.904,3D,,,,,,,,,,,,,
JVASP-1780,225,Fm-3m,LiIn2Rh,0.257,0.004,-4.408,0,-4.507,3D,,,,,,,,,,,,,
JVASP-19782,221,Pm-3m,SnSb,0.865,0.003,-4.407,0,-3.671,3D,,,,,,,,,,,,,
JVASP-15827,216,F-43m,LiMgSnPd,0.102,0,-4.397,0,-4.369,3D,,,,,,,,,,,,,
JVASP-17757,225,Fm-3m,LiGa2Ru,0.329,0,-4.395,0,-2.412,3D,,,,,,,,,,,,,
JVASP-20265,221,Pm-3m,HoPd3,0.045,0,-4.391,0,-1.732,3D,,,,,,,,,,,,,
JVASP-20535,221,Pm-3m,HoPd3,0.045,0,-4.391,0,-1.732,3D,,,,,,,,,,,,,
JVASP-54945,221,Pm-3m,TmB6,0.045,0,-4.388,0.075,-0.262,3D,,,,,,,,,,,,,
JVASP-18819,216,F-43m,Li2AlAg,0.012,0.031,-4.387,0,-4.289,3D,,,,,,,,,,,,,
JVASP-41220,225,Fm-3m,Mg2AgAu,0.193,0,-4.376,0,-4.42,3D,,,,,,,,,,,,,
JVASP-18615,216,F-43m,Li2PbAu,2.056,0,-4.374,0,-4.154,3D,,,,,,,,,,,,,
JVASP-41741,225,Fm-3m,LiGeAu2,0.104,0,-4.358,0,-4.788,3D,,,,,,,,,,,,,
JVASP-18926,225,Fm-3m,LuS,0.832,0.004,-4.357,1.976,1.087,3D,,,,,,,,,,,,,
JVASP-15073,221,Pm-3m,ErPd3,0.046,0.001,-4.352,0.017,-1.742,3D,,,,,,,,,,,,,
JVASP-16378,164,P-3m1,Al3Pt2,0.367,0,-4.348,0,-4.69,3D,,,,,,,,,,,,,
JVASP-18617,216,F-43m,Li2Su,0.257,0,-4.342,0,-4.331,3D,,,,,,,,,,,,,
JVASP-35338,129,P4/nmm,TbSe2,1.303,0.002,-4.336,0,-4.375,3D,,,,,,,,,,,,,
JVASP-18076,164,P-3m1,Ga3Pt2,0.194,0,-4.333,0,-4.509,3D,,,,,,,,,,,,,
JVASP-37866,221,Pm-3m,Ga3Cu,0.076,0.001,-4.33,0,-4.299,3D,,,,,,,,,,,,,
JVASP-37949,225,Fm-3m,Ag3Ge,0.013,0,-4.328,0,-4.309,3D,,,,,,,,,,,,,
JVASP-19927,221,Pm-3m,TmPd3,0.05,0.003,-4.327,0.01,-1.752,3D,,,,,,,,,,,,,
JVASP-40325,225,Fm-3m,LiGa2Ni,0.119,0,-4.323,0,-4.363,3D,,,,,,,,,,,,,
JVASP-35796,216,F-43m,PtC,0.465,0.027,-4.293,0,-4.336,3D,,,,,,,,,,,,,
JVASP-40402,225,Fm-3m,AlCuAu2,0.337,0,-4.283,0,-5.403,3D,,,,,,,,,,,,,
JVASP-40070,225,Fm-3m,Li2MgCd,0.111,0.011,-4.28,0,-4.238,3D,,,,,,,,,,,,,
JVASP-15105,216,F-43m,Li2GeAu,0.088,0,-4.275,0,-4.361,3D,,,,,,,,,,,,,
JVASP-36044,225,Fm-3m,SmB12,0.008,0,-4.272,0,-0.883,3D,,,,,,,,,,,,,
JVASP-7705,216,F-43m,MgCuSn,0.166,0.004,-4.268,0,-4.142,3D,,,,,,,,,,,,,
JVASP-56815,225,Fm-3m,TlC,0.446,0.01,-4.26,0,-4.374,3D,,,,,,,,,,,,,
JVASP-14674,221,Pm-3m,SmPd3,0.039,0,-4.238,0.014,-1.633,3D,,,,,,,,,,,,,
JVASP-4744,194,P6_3/mmc,TlNi,1.245,0.001,-4.226,0,-4.738,3D,,,,,,,,,,,,,
JVASP-16593,194,P6_3/mmc,TlNi,1.245,0.001,-4.225,0,-4.738,3D,,,,,,,,,,,,,
JVASP-39330,225,Fm-3m,Hg3F,0.049,0.004,-4.224,0,-1.9,3D,,,,,,,,,,,,,
JVASP-18739,225,Fm-3m,LiPd2Pb,0.157,0,-4.214,0,-2.996,3D,,,,,,,,,,,,,
JVASP-35642,221,Pm-3m,KWO3,0.88,0.005,-4.212,1.836,1.159,3D,,,,,,,,,,,,,
